update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,6144,927.5903752748957,6,0.0,0.0,0,0,0.0,0.0,0,0,1.7824397534132004,0.21930069476366043,0.02532488825575759,0.024510686518624425,0.15584030849966204,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,12288,901.4710768306177,13,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579,3.3333333333333335,22.852182001336814,0.0,160.0,1.778159221013387,0.20420906506478786,0.03212326105373601,0.004200904115956898,0.08913124265003025,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579
3,18432,1067.963164314823,19,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579,175.83333333333334,178.08978696776023,0.0,360.0,1.8614780058463414,0.1744474129130443,0.04515319022660454,0.002076495254489904,0.05495999517229574,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579
4,24576,1071.7384322796931,25,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579,175.83333333333334,178.08978696776023,0.0,360.0,1.9001962741216023,0.1518185796837012,0.02548967651091516,0.0003607705875765532,0.021531448935997916,0.012500000496705374,0.08569568591025352,0.0,0.6000000238418579
5,30720,1018.2755889625198,31,0.012500000496705374,0.08569568591025353,0.0,0.6000000238418579,183.33333333333334,178.10733343190063,0.0,360.0,1.9301334222157795,0.1304472672442595,0.023075080554311473,0.0002021655145654222,0.016748336346524284,0.012500000496705374,0.08569568591025353,0.0,0.6000000238418579
6,36864,921.6435958121798,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9353308777014415,0.10489557931820552,0.01803057233337313,0.00013938753757732533,0.015547371981060982,0.0,0.0,0,0
7,43008,869.7213561654534,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9365066786607106,0.09043604756395023,0.01550892930633078,0.00010479823079852697,0.014656738609849904,0.0,0.0,0,0
8,49152,917.6894908262402,20,0.0,0.0,0,0,0.0,0.0,0,0,1.939808428287506,0.07676747534424067,0.013740640560475489,7.259052411730711e-05,0.009622853964297828,0.0,0.0,0,0
9,55296,921.8273632066815,27,0.0,0.0,0,0,0.0,0.0,0,0,1.9407318830490112,0.06525721757983168,0.01116547267884016,5.644446036967565e-05,0.010595526947182183,0.0,0.0,0,0
