update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,4096,2003.4461383165024,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9275525510311127,-0.11080090189352632,-0.0243005104130134,0.000771484148572199,0.020489511250646648,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,8192,2002.4786613176689,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9336520060896873,-0.09121639654040337,-0.016734073986299336,0.0001512379612904624,0.00685409126366946,0.0,0.0,0,0
3,12288,2000.5220475394265,20,0.0,0.0,0,0,0.0,0.0,0,0,1.9390019625425339,-0.07495219493284822,-0.0134462327696383,5.4105205890664365e-05,0.004930681866313972,0.0,0.0,0,0
4,16384,2060.930245257365,22,0.0,0.0,0,0,0.0,0.0,0,0,1.94299778342247,-0.06422841316089034,-0.01118708698777482,3.114730793640774e-05,0.00293040797063662,0.0,0.0,0,0
5,20480,2040.3933480770097,24,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9429776594042778,-0.0478337244130671,-0.017809693585149944,0.00015225734387058765,0.005707493890932306,0.0,0.0,0.0,0.0
6,24576,2060.930245257365,26,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9438573494553566,-0.04179074242711067,-0.0076903644658159465,2.1025148555509077e-05,0.0022135169709352883,0.0,0.0,0.0,0.0
7,28672,2061.9666731798743,28,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9440382421016693,-0.03484959015622735,-0.005972001934424043,1.737790842071263e-05,0.0018194730493250797,0.0,0.0,0.0,0.0
8,32768,2071.3673701693097,30,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.944741278886795,-0.029753169394098222,-0.005441043962491676,1.343778444606869e-05,0.0015640762721098199,0.0,0.0,0.0,0.0
9,36864,2065.0760152095568,32,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9446228817105293,-0.025044038542546332,-0.004246963653713465,1.078150205557904e-05,0.0013377515866928114,0.0,0.0,0.0,0.0
