update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,6144,927.6099081587206,7,0.0,0.0,0,0,0.0,0.0,0,0,1.787808229525884,0.17992622094849745,0.02031123305399281,0.02629021128329138,0.16040796091552073,0.0,0.0,0,0
update,framesToTrain,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,12288,876.5265317621859,14,0.0,0.0,0,0,0.0,0.0,0,0,1.7932491153478622,0.18212351823846498,0.026563268426495295,0.005952337950778504,0.0826002548926047,0.0,0.0,0,0
3,18432,991.0596957065906,20,0.0,0.0,0,0,0.0,0.0,0,0,1.8463211705287297,0.16943355153004327,0.027667468258490164,0.0010370024441120524,0.028587924483004623,0.0,0.0,0,0
4,24576,1023.2704582785593,26,0.0,0.0,0,0,0.0,0.0,0,0,1.905109778046608,0.14841677621006966,0.023483162668223184,0.0005100136453014178,0.0255967329440205,0.0,0.0,0,0
5,30720,1046.4387544417136,32,0.0,0.0,0.0,0.0,320.0,320.0,0.0,640.0,1.9233974168697994,0.11853159219026566,0.03183881395185987,0.0005591552471742034,0.022790246290039912,0.0,0.0,0.0,0.0
6,36864,920.3886596967559,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9343246817588806,0.10335481477280457,0.01724958000704646,0.00011992422757127012,0.010599180238935755,0.0,0.0,0,0
7,43008,894.8427074000409,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9385839402675629,0.08554305508732796,0.014969620271585882,7.644392492996606e-05,0.009460323651304715,0.0,0.0,0,0
8,49152,932.3671149118114,20,0.0,0.0,0,0,0.0,0.0,0,0,1.9409989366928737,0.07389140967279673,0.012628990147883693,6.38232797124753e-05,0.0072297732446577265,0.0,0.0,0,0
9,55296,924.958243793499,27,0.007415364806850751,0.05083717985173836,0.0,0.35593751072883606,9.541666666666666,65.41437097882662,0.0,458.0,1.9415577948093414,0.06424720973397295,0.010377043353704115,0.0001298092917447017,0.010168245061627,0.007415364806850751,0.05083717985173836,0.0,0.35593751072883606
10,61440,924.8079735203605,33,0.007415364806850751,0.05083717985173835,0.0,0.35593751072883606,636.2083333333334,25.99435702652062,458.0,640.0,1.9378377149502437,0.04773451263705889,0.01731619720036785,0.00016288647990829,0.011830255493441457,0.007415364806850751,0.05083717985173835,0.0,0.35593751072883606
11,67584,905.0631336741365,7,0.0,0.0,0,0,0.0,0.0,0,0,1.942259967327118,0.039530905429273844,0.006962031533475965,3.135470509126511e-05,0.004517872529380682,0.0,0.0,0,0
12,73728,939.7460914360582,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9432888478040695,0.03448631272961696,0.006006881458840023,2.107435303363066e-05,0.0037069351990318355,0.0,0.0,0,0
13,79872,943.8664667476096,20,0.0,0.0,0,0,0.0,0.0,0,0,1.9438115457693736,0.030209145896757644,0.005296033011594166,1.6970130369979113e-05,0.003861983261471935,0.0,0.0,0,0
14,86016,942.9377368751178,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9439496596654255,0.027413994461918872,0.004859079354597877,2.0210422993235017e-05,0.0039956098670191975,0.0,0.0,0,0
15,92160,887.2149994116174,33,0.0,0.0,0,0,0.0,0.0,0,0,1.9441516796747844,0.02352495724335313,0.004297334429187079,1.876587259630469e-05,0.003835726950787075,0.0,0.0,0,0
16,98304,918.6899309105687,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9444616635640461,0.019352614957218368,0.003458826986995215,1.5084243045748735e-05,0.0031927217906152724,0.0,0.0,0,0
17,104448,927.5918443862664,13,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705,3.8958333333333335,26.708487714062397,0.0,187.0,1.9398278693358104,0.018196155045491953,0.0007034780240549784,0.0006446938227782084,0.024638658783813022,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705
18,110592,928.6314378621379,20,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705,3.8958333333333335,26.708487714062397,0.0,187.0,1.944640705982844,0.009953769001488885,0.0017479515518061817,1.9797369494275092e-05,0.004081750390076672,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705
19,116736,895.7217534062364,27,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705,3.8958333333333335,26.708487714062397,0.0,187.0,1.944941833615303,0.00759732360408331,0.0011753964572562836,1.5850638078518386e-05,0.003375552111141203,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705
20,122880,947.5044273648863,33,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705,310.5625,317.09008356262103,0.0,640.0,1.9448140809933345,0.00544666001223959,0.001578352712385822,1.39148195709519e-05,0.0026366597327205435,0.015354817112286886,0.10526732257416627,0.0,0.7370312213897705
21,129024,905.0249275684808,7,0.0,0.0,0,0,0.0,0.0,0,0,1.945146103700002,0.004784967789116005,0.000743885277188383,7.792866976312022e-06,0.0015933670839299973,0.0,0.0,0,0
22,135168,918.6605213026413,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9452152798573177,0.004198626780028765,0.0006167061322533603,6.309909622359555e-06,0.0013966413735370866,0.0,0.0,0,0
23,141312,870.9919245894384,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9453427692254384,0.0034117070802797875,0.0005905026567537183,5.531596192061746e-06,0.0013061242547774004,0.0,0.0,0,0
24,147456,916.475798879935,27,0.0,0.0,0,0,0.0,0.0,0,0,1.9452689439058304,0.0028628554719034582,0.0004902794871668448,5.614189660718694e-06,0.0019919636434898693,0.0,0.0,0,0
25,153600,927.4427199348906,34,0.0,0.0,0,0,0.0,0.0,0,0,1.9453770021597545,0.0025343218488463513,0.00042838973240577616,4.652988640903762e-06,0.0014365804968467066,0.0,0.0,0,0
26,159744,902.362347147426,7,0.0,0.0,0,0,0.0,0.0,0,0,1.945421541730563,0.0026845683702655756,0.00043959102852871484,5.132284779089484e-06,0.0018528660185822006,0.0,0.0,0,0
27,165888,832.834569548906,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9451922674973805,0.003275051014497876,0.0003855933288529438,1.2576614722092927e-05,0.0020986701231017145,0.0,0.0,0,0
28,172032,911.213913638752,21,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606,176.29166666666666,177.1495317442929,0.0,360.0,1.944389099876086,0.004123355928944268,-0.0003424387567368588,8.258995368729909e-05,0.00883794357863423,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606
29,178176,924.8426903458823,28,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606,176.29166666666666,177.1495317442929,0.0,360.0,1.9451848765214284,-0.0017146019672509283,-0.00033769794420853333,1.0035314915057825e-05,0.0025486224639965464,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606
30,184320,960.8051084647984,34,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606,191.29166666666666,176.8281838317134,0.0,360.0,1.9453253547350566,-0.0022409087202201286,-0.0003295361158658731,8.503862223581867e-06,0.0024491061679819313,0.013437500223517418,0.06447630691229703,0.0,0.33250001072883606
31,190464,855.6811175937944,7,0.0,0.0,0,0,0.0,0.0,0,0,1.945394903421402,-0.0010465221433454037,-0.0001486207085387529,4.663693440913145e-06,0.0018748538332610347,0.0,0.0,0,0
32,196608,908.3220371213635,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9454853385686874,-0.0011302534039714374,-0.00015638489852184043,3.65903226414351e-06,0.00125434436184841,0.0,0.0,0,0
33,202752,908.4832668587857,21,0.0,0.0,0,0,0.0,0.0,0,0,1.945582742492358,-0.00036113032486658386,-2.093164243888168e-05,3.0202971193678727e-06,0.0009355996308211193,0.0,0.0,0,0
34,208896,894.347337373741,28,0.0,0.0,0,0,0.0,0.0,0,0,1.9455846895774205,-0.0004534443378361175,-0.00014745614612365898,2.896045960672685e-06,0.0011609305609724641,0.0,0.0,0,0
35,215040,801.1540366999117,35,0.0,0.0,0,0,0.0,0.0,0,0,1.9455641309420268,-0.00039143787580542266,-2.6234904453303898e-05,3.02379641918075e-06,0.0009672463589987411,0.0,0.0,0,0
